scan_index,split,acquisition_folder,laz_relative_path,info_relative_path,laz_filename,info_filename,size_bytes,point_count,las_version,point_data_format,x_min,y_min,z_min,x_max,y_max,z_max,gps_time_min,gps_time_max,classification_histogram
0,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+000_0+050.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+000_0+050_info.txt,ACQ_242_Aulnoye_Busigny_F_0+000_0+050.laz,ACQ_242_Aulnoye_Busigny_F_0+000_0+050_info.txt,70664256,14506639,1.2,3,1760095.731,9222121.296,136.816,1760330.833,9222323.704,228.668,47768.901615,48299.555676,"{""0"":{""count"":2668865,""label"":""Unclassified""},""1"":{""count"":7436384,""label"":""Ground""},""2"":{""count"":789985,""label"":""Vegetation""},""3"":{""count"":3272002,""label"":""Building""},""4"":{""count"":66825,""label"":""Catenary pole""},""5"":{""count"":150571,""label"":""Rail""},""7"":{""count"":122007,""label"":""Catenary wire""}}"
1,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+050_0+100.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+050_0+100_info.txt,ACQ_242_Aulnoye_Busigny_F_0+050_0+100.laz,ACQ_242_Aulnoye_Busigny_F_0+050_0+100_info.txt,37269478,7414787,1.2,3,1760046.648,9222122.140,141.395,1760299.891,9222273.071,185.048,48299.555759,48313.401165,"{""0"":{""count"":1577208,""label"":""Unclassified""},""1"":{""count"":3470017,""label"":""Ground""},""2"":{""count"":536820,""label"":""Vegetation""},""3"":{""count"":1663587,""label"":""Building""},""4"":{""count"":33235,""label"":""Catenary pole""},""5"":{""count"":65432,""label"":""Rail""},""7"":{""count"":68488,""label"":""Catenary wire""}}"
2,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+100_0+150.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+100_0+150_info.txt,ACQ_242_Aulnoye_Busigny_F_0+100_0+150.laz,ACQ_242_Aulnoye_Busigny_F_0+100_0+150_info.txt,23897029,4342169,1.2,3,1760021.464,9222070.923,141.778,1760242.049,9222299.355,185.400,48313.401175,48321.793759,"{""0"":{""count"":513028,""label"":""Unclassified""},""1"":{""count"":3264075,""label"":""Ground""},""2"":{""count"":245764,""label"":""Vegetation""},""3"":{""count"":34707,""label"":""Building""},""4"":{""count"":98452,""label"":""Catenary pole""},""5"":{""count"":77076,""label"":""Rail""},""7"":{""count"":109067,""label"":""Catenary wire""}}"
3,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+150_0+200.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+150_0+200_info.txt,ACQ_242_Aulnoye_Busigny_F_0+150_0+200.laz,ACQ_242_Aulnoye_Busigny_F_0+150_0+200_info.txt,20360124,3515292,1.2,3,1759987.852,9222061.704,141.537,1760207.493,9222281.115,186.271,48321.793769,48328.839291,"{""0"":{""count"":459746,""label"":""Unclassified""},""1"":{""count"":2580039,""label"":""Ground""},""2"":{""count"":253252,""label"":""Vegetation""},""3"":{""count"":12972,""label"":""Building""},""4"":{""count"":41329,""label"":""Catenary pole""},""5"":{""count"":113907,""label"":""Rail""},""7"":{""count"":54047,""label"":""Catenary wire""}}"
4,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+200_0+250.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+200_0+250_info.txt,ACQ_242_Aulnoye_Busigny_F_0+200_0+250.laz,ACQ_242_Aulnoye_Busigny_F_0+200_0+250_info.txt,19808608,3405531,1.2,3,1759933.979,9222038.235,141.528,1760149.253,9222248.064,222.570,48328.839414,48335.666535,"{""0"":{""count"":245058,""label"":""Unclassified""},""1"":{""count"":2890661,""label"":""Ground""},""2"":{""count"":27494,""label"":""Vegetation""},""3"":{""count"":27766,""label"":""Building""},""4"":{""count"":23070,""label"":""Catenary pole""},""5"":{""count"":143284,""label"":""Rail""},""7"":{""count"":48198,""label"":""Catenary wire""}}"
5,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+250_0+300.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+250_0+300_info.txt,ACQ_242_Aulnoye_Busigny_F_0+250_0+300.laz,ACQ_242_Aulnoye_Busigny_F_0+250_0+300_info.txt,21178464,3546187,1.2,3,1759912.756,9222005.965,141.258,1760107.804,9222198.947,221.905,48335.666545,48342.444049,"{""0"":{""count"":421687,""label"":""Unclassified""},""1"":{""count"":2693200,""label"":""Ground""},""2"":{""count"":139451,""label"":""Vegetation""},""3"":{""count"":69429,""label"":""Building""},""4"":{""count"":61251,""label"":""Catenary pole""},""5"":{""count"":106605,""label"":""Rail""},""7"":{""count"":54564,""label"":""Catenary wire""}}"
6,test,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+300_0+350.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+300_0+350_info.txt,ACQ_242_Aulnoye_Busigny_F_0+300_0+350.laz,ACQ_242_Aulnoye_Busigny_F_0+300_0+350_info.txt,21190239,3429675,1.2,3,1759854.294,9221993.763,141.226,1760071.710,9222174.248,226.102,48342.444059,48349.220996,"{""0"":{""count"":285585,""label"":""Unclassified""},""1"":{""count"":2725747,""label"":""Ground""},""2"":{""count"":115861,""label"":""Vegetation""},""3"":{""count"":39869,""label"":""Building""},""4"":{""count"":27102,""label"":""Catenary pole""},""5"":{""count"":166092,""label"":""Rail""},""7"":{""count"":69419,""label"":""Catenary wire""}}"
7,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+350_0+400.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+350_0+400_info.txt,ACQ_242_Aulnoye_Busigny_F_0+350_0+400.laz,ACQ_242_Aulnoye_Busigny_F_0+350_0+400_info.txt,22243723,3620154,1.2,3,1759818.624,9221933.070,140.487,1760005.569,9222155.155,227.123,48349.221006,48356.042871,"{""0"":{""count"":257574,""label"":""Unclassified""},""1"":{""count"":2791161,""label"":""Ground""},""2"":{""count"":38578,""label"":""Vegetation""},""3"":{""count"":190608,""label"":""Building""},""4"":{""count"":54019,""label"":""Catenary pole""},""5"":{""count"":202998,""label"":""Rail""},""7"":{""count"":85216,""label"":""Catenary wire""}}"
8,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+400_0+450.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+400_0+450_info.txt,ACQ_242_Aulnoye_Busigny_F_0+400_0+450.laz,ACQ_242_Aulnoye_Busigny_F_0+400_0+450_info.txt,21931954,3578695,1.2,3,1759789.436,9221943.196,139.944,1759962.664,9222135.361,229.847,48356.042876,48362.898097,"{""0"":{""count"":269220,""label"":""Unclassified""},""1"":{""count"":2808784,""label"":""Ground""},""2"":{""count"":32655,""label"":""Vegetation""},""3"":{""count"":105590,""label"":""Building""},""4"":{""count"":32587,""label"":""Catenary pole""},""5"":{""count"":237866,""label"":""Rail""},""7"":{""count"":91993,""label"":""Catenary wire""}}"
9,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+450_0+500.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+450_0+500_info.txt,ACQ_242_Aulnoye_Busigny_F_0+450_0+500.laz,ACQ_242_Aulnoye_Busigny_F_0+450_0+500_info.txt,22100349,3601641,1.2,3,1759744.692,9221898.198,139.886,1759919.680,9222110.120,232.538,48362.898103,48369.797956,"{""0"":{""count"":211513,""label"":""Unclassified""},""1"":{""count"":2732240,""label"":""Ground""},""2"":{""count"":194001,""label"":""Vegetation""},""3"":{""count"":78623,""label"":""Building""},""4"":{""count"":92346,""label"":""Catenary pole""},""5"":{""count"":203803,""label"":""Rail""},""7"":{""count"":89115,""label"":""Catenary wire""}}"
10,valid,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+500_0+550.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+500_0+550_info.txt,ACQ_242_Aulnoye_Busigny_F_0+500_0+550.laz,ACQ_242_Aulnoye_Busigny_F_0+500_0+550_info.txt,22896533,3666361,1.2,3,1759720.442,9221870.605,139.939,1759897.775,9222078.880,233.408,48369.797965,48376.775184,"{""0"":{""count"":226633,""label"":""Unclassified""},""1"":{""count"":2754824,""label"":""Ground""},""2"":{""count"":213084,""label"":""Vegetation""},""3"":{""count"":106655,""label"":""Building""},""4"":{""count"":53419,""label"":""Catenary pole""},""5"":{""count"":204613,""label"":""Rail""},""7"":{""count"":107133,""label"":""Catenary wire""}}"
11,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+550_0+600.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+550_0+600_info.txt,ACQ_242_Aulnoye_Busigny_F_0+550_0+600.laz,ACQ_242_Aulnoye_Busigny_F_0+550_0+600_info.txt,23958011,3841643,1.2,3,1759642.681,9221857.336,139.885,1759839.200,9222034.755,236.688,48376.775266,48383.843720,"{""0"":{""count"":298136,""label"":""Unclassified""},""1"":{""count"":2717385,""label"":""Ground""},""2"":{""count"":258426,""label"":""Vegetation""},""3"":{""count"":182560,""label"":""Building""},""4"":{""count"":63419,""label"":""Catenary pole""},""5"":{""count"":205467,""label"":""Rail""},""7"":{""count"":116250,""label"":""Catenary wire""}}"
12,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+600_0+650.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+600_0+650_info.txt,ACQ_242_Aulnoye_Busigny_F_0+600_0+650.laz,ACQ_242_Aulnoye_Busigny_F_0+600_0+650_info.txt,24848989,3967892,1.2,3,1759635.811,9221819.239,140.553,1759826.539,9221988.583,231.712,48383.843728,48390.938959,"{""0"":{""count"":293121,""label"":""Unclassified""},""1"":{""count"":2877745,""label"":""Ground""},""2"":{""count"":104832,""label"":""Vegetation""},""3"":{""count"":218086,""label"":""Building""},""4"":{""count"":87244,""label"":""Catenary pole""},""5"":{""count"":228306,""label"":""Rail""},""7"":{""count"":158558,""label"":""Catenary wire""}}"
13,train,ACQ_242_Aulnoye_Busigny,data/ACQ_242_Aulnoye_Busigny/cloud/ACQ_242_Aulnoye_Busigny_F_0+650_0+700.laz,data/ACQ_242_Aulnoye_Busigny/info/ACQ_242_Aulnoye_Busigny_F_0+650_0+700_info.txt,ACQ_242_Aulnoye_Busigny_F_0+650_0+700.laz,ACQ_242_Aulnoye_Busigny_F_0+650_0+700_info.txt,24188521,3842645,1.2,3,1759579.655,9221791.403,140.684,1759779.543,9221957.640,233.269,48390.938969,48397.755901,"{""0"":{""count"":285600,""label"":""Unclassified""},""1"":{""count"":2751119,""label"":""Ground""},""2"":{""count"":103626,""label"":""Vegetation""},""3"":{""count"":272905,""label"":""Building""},""4"":{""count"":48019,""label"":""Catenary pole""},""5"":{""count"":250284,""label"":""Rail""},""7"":{""count"":131092,""label"":""Catenary wire""}}"
