scan_index,split,laz_relative_path_original,laz_relative_path_normalized,acquisition_folder,laz_filename
0,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+000_0+050.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+000_0+050.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+000_0+050.laz
1,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+050_0+100.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+050_0+100.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+050_0+100.laz
2,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+100_0+150.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+100_0+150.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+100_0+150.laz
3,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+150_0+200.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+150_0+200.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+150_0+200.laz
4,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+200_0+250.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+200_0+250.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+200_0+250.laz
5,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+250_0+300.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+250_0+300.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+250_0+300.laz
6,test,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+300_0+350.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+300_0+350.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+300_0+350.laz
7,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+350_0+400.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+350_0+400.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+350_0+400.laz
8,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+400_0+450.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+400_0+450.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+400_0+450.laz
9,train,\ACQ_242_Aulnoye_Busigny\Nuage\ACQ_242_Aulnoye_Busigny_F_0+450_0+500.laz,ACQ_242_Aulnoye_Busigny/Nuage/ACQ_242_Aulnoye_Busigny_F_0+450_0+500.laz,ACQ_242_Aulnoye_Busigny,ACQ_242_Aulnoye_Busigny_F_0+450_0+500.laz
