split,acquisition_folder,count
train,ACQ_242_Aulnoye_Busigny,526
train,ACQ_272_Lille_Douai,655
train,ACQ_284_Lens_Ostricourt,225
train,ACQ_286_Don_Lens,245
train,ACQ_289_Don_Bethune,352
train,ACQ_289_Lille_Don,420
train,ACQ_295_Hazebrouck_Calais,924
train,ACQ_301_Hazebrouck_Dunkerque,721
valid,ACQ_242_Aulnoye_Busigny,132
valid,ACQ_272_Lille_Douai,163
valid,ACQ_284_Lens_Ostricourt,57
valid,ACQ_286_Don_Lens,62
valid,ACQ_289_Don_Bethune,88
valid,ACQ_289_Lille_Don,105
valid,ACQ_295_Hazebrouck_Calais,230
valid,ACQ_301_Hazebrouck_Dunkerque,180
test,ACQ_242_Aulnoye_Busigny,35
test,ACQ_272_Lille_Douai,43
test,ACQ_284_Lens_Ostricourt,14
test,ACQ_286_Don_Lens,16
test,ACQ_289_Don_Bethune,23
test,ACQ_289_Lille_Don,28
test,ACQ_295_Hazebrouck_Calais,61
test,ACQ_301_Hazebrouck_Dunkerque,48
